@DATA SEED       4096
@T    2121297 l 1
@T    2121370 l 0
@T    2121630 c 0
@T    2132936 c 1
@T    2133455 l 1
@T    2133528 l 0
@T    2133788 c 0
@T    2140434 c 1
@T    2140939 l 1
@T    2141012 l 0
@T    2141272 c 0
@T    2152564 c 1
@T    2153083 l 1
@T    2153156 l 0
@T    2153416 c 0
@T    2164707 c 1
@T    2165226 l 1
@T    2165299 l 0
@T    2165559 c 0
@T    2176922 c 1
@T    2177387 l 1
@T    2177460 l 0
@T    2177720 c 0
@T    2189083 c 1
@T    2189548 l 1
@T    2189621 l 0
@T    2189881 c 0
@T    2201363 c 1
@T    2201828 l 1
@T    2201901 l 0
@T    2202161 c 0
@T    2213405 c 1
@T    2213870 l 1
@T    2213943 l 0
@T    2214203 c 0
@T    2225509 c 1
@T    2226028 l 1
@T    2226101 l 0
@T    2226361 c 0
@T    2233007 c 1
@T    2233512 l 1
@T    2233585 l 0
@T    2233845 c 0
@T    2245137 c 1
@T    2245656 l 1
@T    2245729 l 0
@T    2245989 c 0
@T    2257280 c 1
@T    2257799 l 1
@T    2257872 l 0
@T    2258132 c 0
@T    2269246 c 1
@T    2269711 l 1
@T    2269784 l 0
@T    2270044 c 0
@T    2281303 c 1
@T    2281768 l 1
@T    2281841 l 0
@T    2282101 c 0
@T    2293464 c 1
@T    2293929 l 1
@T    2294002 l 0
@T    2294262 c 0
@T    2305625 c 1
@T    2306090 l 1
@T    2306163 l 0
@T    2306423 c 0
@T    2317905 c 1
@T    2318370 l 1
@T    2318443 l 0
@T    2318703 c 0
@T    2329785 c 1
@T    2330250 l 1
@T    2330323 l 0
@T    2330583 c 0
@T    2341753 c 1
@T    2342218 l 1
@T    2342291 l 0
@T    2342551 c 0
@T    2349197 c 1
@T    2349702 l 1
@T    2349775 l 0
@T    2350035 c 0
@T    2361327 c 1
@T    2361846 l 1
@T    2361919 l 0
@T    2362179 c 0
@T    2373470 c 1
@T    2373989 l 1
@T    2374062 l 0
@T    2374322 c 0
@T    2385436 c 1
@T    2385901 l 1
@T    2385974 l 0
@T    2386234 c 0
@T    2397493 c 1
@T    2397958 l 1
@T    2398031 l 0
@T    2398291 c 0
@T    2409654 c 1
@T    2410119 l 1
@T    2410192 l 0
@T    2410452 c 0
@T    2421934 c 1
@T    2422399 l 1
@T    2422472 l 0
@T    2422732 c 0
@T    2433814 c 1
@T    2434279 l 1
@T    2434352 l 0
@T    2434612 c 0
@T    2445903 c 1
@T    2446422 l 1
@T    2446495 l 0
@T    2446755 c 0
@T    2457869 c 1
@T    2458334 l 1
@T    2458407 l 0
@T    2458667 c 0
@T    2469957 c 1
@T    2470422 l 1
@T    2470495 l 0
@T    2470755 c 0
@T    2481838 c 1
@T    2482303 l 1
@T    2482376 l 0
@T    2482636 c 0
@T    2493895 c 1
@T    2494360 l 1
@T    2494433 l 0
@T    2494693 c 0
@T    2506056 c 1
@T    2506521 l 1
@T    2506594 l 0
@T    2506854 c 0
@T    2518217 c 1
@T    2518682 l 1
@T    2518755 l 0
@T    2519015 c 0
@T    2530497 c 1
@T    2530962 l 1
@T    2531035 l 0
@T    2531295 c 0
@T    2542587 c 1
@T    2543106 l 1
@T    2543179 l 0
@T    2543439 c 0
@T    2554730 c 1
@T    2555249 l 1
@T    2555322 l 0
@T    2555582 c 0
@T    2566696 c 1
@T    2567161 l 1
@T    2567234 l 0
@T    2567494 c 0
@T    2578784 c 1
@T    2579249 l 1
@T    2579322 l 0
@T    2579582 c 0
@T    2590976 c 1
@T    2591441 l 1
@T    2591514 l 0
@T    2591774 c 0
@T    2602857 c 1
@T    2603322 l 1
@T    2603395 l 0
@T    2603655 c 0
@T    2614900 c 1
@T    2615365 l 1
@T    2615438 l 0
@T    2615698 c 0
@T    2626957 c 1
@T    2627422 l 1
@T    2627495 l 0
@T    2627755 c 0
@T    2639118 c 1
@T    2639583 l 1
@T    2639656 l 0
@T    2639916 c 0
@T    2651279 c 1
@T    2651744 l 1
@T    2651817 l 0
@T    2652077 c 0
@T    2663368 c 1
@T    2663887 l 1
@T    2663960 l 0
@T    2664220 c 0
@T    2675334 c 1
@T    2675799 l 1
@T    2675872 l 0
@T    2676132 c 0
@T    2687422 c 1
@T    2687887 l 1
@T    2687960 l 0
@T    2688220 c 0
@T    2699614 c 1
@T    2700079 l 1
@T    2700152 l 0
@T    2700412 c 0
@T    2711495 c 1
@T    2711960 l 1
@T    2712033 l 0
@T    2712293 c 0
@T    2723538 c 1
@T    2724003 l 1
@T    2724076 l 0
@T    2724336 c 0
@T    2735595 c 1
@T    2736060 l 1
@T    2736133 l 0
@T    2736393 c 0
@T    2747506 c 1
@T    2747971 l 1
@T    2748044 l 0
@T    2748304 c 0
@T    2759593 c 1
@T    2760058 l 1
@T    2760131 l 0
@T    2760391 c 0
@T    2771784 c 1
@T    2772249 l 1
@T    2772322 l 0
@T    2772582 c 0
@T    2783664 c 1
@T    2784129 l 1
@T    2784202 l 0
@T    2784462 c 0
@T    2795706 c 1
@T    2796171 l 1
@T    2796244 l 0
@T    2796504 c 0
@T    2807762 c 1
@T    2808227 l 1
@T    2808300 l 0
@T    2808560 c 0
@T    2819673 c 1
@T    2820138 l 1
@T    2820211 l 0
@T    2820471 c 0
@T    2831760 c 1
@T    2832225 l 1
@T    2832298 l 0
@T    2832558 c 0
@T    2843951 c 1
@T    2844416 l 1
@T    2844489 l 0
@T    2844749 c 0
@T    2855831 c 1
@T    2856296 l 1
@T    2856369 l 0
@T    2856629 c 0
@T    2867873 c 1
@T    2868338 l 1
@T    2868411 l 0
@T    2868671 c 0
@T    2879929 c 1
@T    2880394 l 1
@T    2880467 l 0
@T    2880727 c 0
@T    2892017 c 1
@T    2892536 l 1
@T    2892609 l 0
@T    2892869 c 0
@T    2904158 c 1
@T    2904623 l 1
@T    2904696 l 0
@T    2904956 c 0
@T    2916349 c 1
@T    2916814 l 1
