@DATA SEED       4096
@T     183901 l 0
@T     184083 l 1
@T     184156 l 0
@T     184338 l 1
@T     184411 l 0
@T     184593 l 1
@T     184666 l 0
@T     184848 l 1
@T     184921 l 0
@T     185103 l 1
@T     185176 l 0
@T     185358 l 1
@T     185431 l 0
@T     185613 l 1
@T     185686 l 0
@T     185868 l 1
@T     185941 l 0
@T     186123 l 1
@T     186196 l 0
@T     186378 l 1
@T     186451 l 0
@T     186633 l 1
@T     186706 l 0
@T     186888 l 1
@T     186961 l 0
@T     187143 l 1
@T     187216 l 0
@T     187398 l 1
@T     187471 l 0
@T     187653 l 1
@T     187726 l 0
@T     187908 l 1
@T     187981 l 0
@T     188163 l 1
@T     188236 l 0
@T     188418 l 1
@T     188491 l 0
@T     188673 l 1
@T     188746 l 0
@T     188928 l 1
@T     189001 l 0
@T     189183 l 1
@T     189256 l 0
@T     189438 l 1
@T     189511 l 0
@T     189693 l 1
@T     189766 l 0
@T     189948 l 1
@T     190021 l 0
@T     190203 l 1
@T     190276 l 0
@T     190458 l 1
@T     190531 l 0
@T     190713 l 1
@T     190786 l 0
@T     190968 l 1
@T     191041 l 0
@T     191223 l 1
@T     191296 l 0
@T     191478 l 1
@T     191551 l 0
@T     191733 l 1
@T     191806 l 0
@T     191988 l 1
@T     192061 l 0
@T     192243 l 1
@T     192316 l 0
@T     192498 l 1
@T     192571 l 0
@T     192753 l 1
@T     192826 l 0
@T     193008 l 1
@T     193081 l 0
@T     193263 l 1
@T     193336 l 0
@T     193518 l 1
@T     193591 l 0
@T     193773 l 1
@T     193846 l 0
@T     194028 l 1
@T     194101 l 0
@T     194283 l 1
@T     194356 l 0
@T     194538 l 1
@T     194611 l 0
@T     194793 l 1
@T     194866 l 0
@T     195048 l 1
@T     195121 l 0
@T     195303 l 1
@T     195376 l 0
@T     195558 l 1
@T     195631 l 0
@T     195813 l 1
@T     195886 l 0
@T     196068 l 1
@T     196141 l 0
@T     196323 l 1
@T     196396 l 0
@T     196578 l 1
@T     196651 l 0
@T     196833 l 1
@T     196906 l 0
@T     197088 l 1
@T     197161 l 0
@T     197343 l 1
@T     197416 l 0
@T     197598 l 1
@T     197671 l 0
@T     197853 l 1
@T     197926 l 0
@T     198108 l 1
@T     198181 l 0
@T     198363 l 1
@T     198436 l 0
@T     198618 l 1
@T     198691 l 0
@T     198873 l 1
@T     198946 l 0
@T     199128 l 1
@T     199201 l 0
@T     199383 l 1
@T     199456 l 0
@T     199678 l 1
@T     199751 l 0
@T     199933 l 1
@T     200006 l 0
@T     200188 l 1
@T     200261 l 0
@T     200443 l 1
@T     200516 l 0
@T     200698 l 1
@T     200771 l 0
@T     200953 l 1
@T     201026 l 0
@T     201208 l 1
@T     201281 l 0
@T     201463 l 1
@T     201536 l 0
@T     201758 l 1
@T     201831 l 0
@T     202053 l 1
@T     202126 l 0
@T     202308 l 1
@T     202381 l 0
@T     202563 l 1
@T     202636 l 0
@T     202818 l 1
@T     202891 l 0
@T     203073 l 1
@T     203146 l 0
@T     203328 l 1
@T     203401 l 0
@T     203583 l 1
@T     203656 l 0
@T     203838 l 1
@T     203911 l 0
@T     204133 l 1
@T     204206 l 0
@T     204428 l 1
@T     204501 l 0
@T     204723 l 1
@T     204796 l 0
@T     204978 l 1
@T     205051 l 0
@T     205233 l 1
@T     205306 l 0
@T     205488 l 1
@T     205561 l 0
@T     205743 l 1
@T     205816 l 0
@T     205998 l 1
@T     206071 l 0
@T     206253 l 1
@T     206326 l 0
@T     206508 l 1
@T     206581 l 0
@T     206803 l 1
@T     206876 l 0
@T     207098 l 1
@T     207171 l 0
@T     207393 l 1
@T     207466 l 0
@T     207688 l 1
@T     207761 l 0
@T     207943 l 1
@T     208016 l 0
@T     208198 l 1
@T     208271 l 0
@T     208453 l 1
@T     208526 l 0
@T     208708 l 1
@T     208781 l 0
@T     208963 l 1
@T     209036 l 0
@T     209218 l 1
@T     209291 l 0
@T     209473 l 1
@T     209546 l 0
@T     209768 l 1
@T     209841 l 0
@T     210063 l 1
@T     210136 l 0
@T     210358 l 1
@T     210431 l 0
@T     210653 l 1
@T     210726 l 0
@T     210948 l 1
@T     211021 l 0
@T     211203 l 1
@T     211276 l 0
@T     211458 l 1
@T     211531 l 0
@T     211713 l 1
@T     211786 l 0
@T     211968 l 1
@T     212041 l 0
